STT,Ten_Du_An,Vtk (km/h),B_Cau (m),H_Tru (m),Is_Urban,Is_River,Cap_song,Loai_Dam,Loai_Tru
1,Cầu Hai Thìn (Km25+371),100,17.5,0,0,1,VI,T ngược,Không có (Cầu 1 nhịp)
2,Cầu Xẻo Môn Dài (Km25+978),100,17.5,0,0,1,V,T ngược,Không có (Cầu 1 nhịp)
3,Cầu 78 (Km27+809),100,17.5,5.08,0,1,VI,I33 & T ngược,Khung 2 cột
4,Cầu Long Sơn (Km28+732),100,17.5,5.95,0,1,V,I33 & T ngược,Khung 2 cột
5,Cầu Đường Gỗ (Km30+500),100,17.5,0,0,1,VI,T ngược,Không có (Cầu 1 nhịp)
6,Cầu Cà Dăm (Km31+693),100,17.5,0,0,1,VI,T ngược,Không có (Cầu 1 nhịp)
7,Cầu Tư Sang (Km32+830),100,17.5,6.46,0,1,VI,I24.54 & T ngược,Khung 2 cột
8,Cầu Cái Răng (Km8+433),100,12,7.93,0,1,VI,I33 & T ngược,Khung 2 cột
9,Cầu Vượt QL1 (Km24+639),100,24.75,7.6,1,0,N/A,Super-T,Khung 2 cột
10,Cầu Chấp Tranh (Km36+500),100,17.5,0,0,1,VI,T ngược,Không có (1 nhịp)
11,Cầu Đào Đất (Km44+662),100,12,0,0,1,VI,Super-T,Không có (1 nhịp)
12,Cầu Kênh Ngang (Km33+668),100,24.75,7.5,0,1,VI,Super-T & T ngược,Khung 2 cột
13,Cầu Mười Thước (Km35+862),100,18.5,5.5,0,1,V,T ngược,Khung 2 cột
14,Cầu Vườn Cò (Km0+031),80,12,0,0,1,VI,Dầm I,Không có (1 nhịp)
15,Cầu Trần Thị Phụng (Km1+376),80,12,6.5,0,1,V,Dầm I,Khung 2 cột
16,Cầu Nông Kè (Km2+690),80,12,5.8,0,1,VI,Dầm I,Khung 2 cột
17,Cầu Đường Đào (Km3+951),80,12,0,0,1,VI,T ngược,Không có (1 nhịp)
18,Cầu Bến Gỗ (Km4+751),80,12,6.2,0,1,VI,Dầm I,Khung 2 cột
19,Cầu Sáu Đèo (Km50+972),100,17.5,0,0,1,VI,T ngược,Không có (1 nhịp)
20,Cầu Cơ Nhì (Km51+607),100,17.5,0,0,1,VI,T ngược,Không có (1 nhịp)
21,Cầu Lộ Đá (Km52+696),100,23.75,7.24,1,0,N/A,Super-T & T ngược,Khung 2 cột
22,Cầu Giải Phóng (Km47+039),100,17.5,7.9,0,1,VI,Super-T & T ngược,Thân rỗng (2 cột)
23,Cầu Kênh 3 (Km85+031),100,24.75,7.4,0,1,VI,T ngược & I33,Khung 2 cột
24,Cầu Kênh 4,100,24.75,7.5,0,1,V,T ngược & I,Khung 2 cột
25,Cầu Kênh Ba Tẩu,100,17.5,7.5,0,1,V,T ngược & I,Khung 2 cột
26,Cầu Vượt IC8,100,9,6.8,1,0,N/A,Super-T,Khung 2 cột
27,Cầu Thạnh Đông (Km15+946),100,24.75,10.28,0,1,V,Super-T,Khung 2 cột
28,Cầu Cơ Ba (Km17+531),100,17.5,8.05,0,1,V,I33 & T ngược,Khung 2 cột
29,Cầu Cái Muồng (Km20+304),100,17.5,7.24,0,1,V,I33 & T ngược,Khung 2 cột
30,Cầu Thuỷ Lợi (Km20+995),100,24.75,7.5,0,1,V,Super-T & T ngược,Khung 2 cột
31,Cầu Kênh Nhỏ (Km21+706),100,17.5,6.9,0,1,VI,Dầm I33,Khung 2 cột
32,Cầu Xẻo Lá (Km5+014),80,12,0,0,1,VI,Dầm I33,Không có (1 nhịp)
33,Cầu Ngã Bát (Km6+091),80,12,0,0,1,VI,Dầm I33,Không có (1 nhịp)
34,Cầu Ông Tiêm (Km7+254),80,12,0,0,1,VI,Dầm I33,Không có (1 nhịp)
